"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"2X05WV";"2X05WV";"J1";"";"";
"1";"";"3MM";"3MM";"LD4";"";"";
"3";"1k2";"R-0805";"0805";"R1, R2, R3";"";"";
"1";"6k8";"R-0805";"0805";"R4";"";"";
"1";"COMBI-8X2P";"COMBI-8X2P";"COMBI-8X2";"JP1";"";"";
"1";"D09F90CL";"D09F90CL";"D09F90CL";"J2";"";"";
"1";"D09M90CL";"D09M90CL";"D09M90CL";"J3";"";"";
"3";"L-937EGW";"L-937EGW";"LED_3MM_BICOLOR";"LD1, LD2, LD3";"";"";
"3";"LL103A";"D-SOD80";"SOD-80";"D1, D2, D3";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$44";"";"";
